lat,lon,street,colony,city,district
17.5161347,78.3479885,Swarnapuri Colony,Swarnapuri Colony,Hyderabad,Telangana
17.5083701,78.3941192,Aditya Nagar,Aditya Nagar,Hyderabad,Telangana
17.5043618,78.4149849,Allwyn Colony,Allwyn Colony,Hyderabad,Telangana
17.504779,78.3843493,Brindavan Colony,Brindavan Colony,Hyderabad,Telangana
17.5042727,78.3961341,HMT Hills,HMT Hills,Hyderabad,Telangana
17.5238346,78.4140552,Mahadevpur Colony,Mahadevpur Colony,Hyderabad,Telangana
17.5037121,78.3886073,Nagarjuna Homes,Nagarjuna Homes,Hyderabad,Telangana
17.500301,78.4096616,Navodaya Colony,Navodaya Colony,Hyderabad,Telangana
17.5023014,78.3791026,Ramnaresh Colony,Ramnaresh Colony,Hyderabad,Telangana
17.5016544,78.4169265,Sai Nagar,Sai Nagar,Hyderabad,Telangana
17.5018251,78.3933998,Samatha Nagar,Samatha Nagar,Hyderabad,Telangana
17.4999703,78.4002791,Satavahana Nagar,Satavahana Nagar,Hyderabad,Telangana
17.5092518,78.381155,Setwinabad,Setwinabad,Hyderabad,Telangana
17.5063298,78.3912157,Sreenivasa Nagar,Sreenivasa Nagar,Hyderabad,Telangana
17.5009168,78.3866925,Vasantha Nagar,Vasantha Nagar,Hyderabad,Telangana
17.5020571,78.4217279,Anjaih Nagar,Anjaih Nagar,Hyderabad,Telangana
17.5024694,78.4303464,Beerappa Nagar,Beerappa Nagar,Hyderabad,Telangana
17.5001743,78.4307908,Devamma Basthi,Devamma Basthi,Hyderabad,Telangana
17.5013628,78.4416564,HMT Colony,HMT Colony,Hyderabad,Telangana
17.5020418,78.4260747,Jagadgirigutta,Jagadgirigutta,Hyderabad,Telangana
17.5132586,78.4237774,Lenin Nagar,Lenin Nagar,Hyderabad,Telangana
17.5013949,78.4180653,Madhavaram Colony,Madhavaram Colony,Hyderabad,Telangana
17.5033359,78.4229604,Maisamma Nagar,Maisamma Nagar,Hyderabad,Telangana
17.5065885,78.429226,Maqdum Nagar,Maqdum Nagar,Hyderabad,Telangana
17.5184713,78.4252651,Prakasam Pantulu Nagar,Prakasam Pantulu Nagar,Hyderabad,Telangana
17.5150089,78.4339021,Prasanth Nagar,Prasanth Nagar,Hyderabad,Telangana
17.517411,78.4331609,Roda Mestry Nagar,Roda Mestry Nagar,Hyderabad,Telangana
17.50082,78.4266146,Sanjaypuri,Sanjaypuri,Hyderabad,Telangana
17.5039269,78.4190646,Shiva Nagar,Shiva Nagar,Hyderabad,Telangana
17.5135004,78.4385188,Srinivas Nagar,Srinivas Nagar,Hyderabad,Telangana
17.5076426,78.4232565,Srinivasa Nagar,Srinivasa Nagar,Hyderabad,Telangana
17.508515,78.4588376,Ayodhya Nagar,Ayodhya Nagar,Hyderabad,Telangana
17.5051308,78.4895401,Bhel R&D Employees Colony,Bhel R&D Employees Colony,Hyderabad,Telangana
17.5130521,78.4806147,PET Bashirabad,PET Bashirabad,Hyderabad,Telangana
17.5164323,78.483916,Caton Residential Township,Caton Residential Township,Hyderabad,Telangana
17.5056193,78.4776674,Green Park,Green Park,Hyderabad,Telangana
17.5139876,78.4922499,HMT Officers Colony,HMT Officers Colony,Hyderabad,Telangana
17.5096516,78.4786567,Jeedimetla Village,Jeedimetla Village,Hyderabad,Telangana
17.5140351,78.4742008,Praga Tools Colony,Praga Tools Colony,Hyderabad,Telangana
17.5047122,78.4589164,Qutubullapur,Qutubullapur,Hyderabad,Telangana
17.5007426,78.4786654,Ramaraju Nagar,Ramaraju Nagar,Hyderabad,Telangana
17.5087533,78.4852799,Spring Fields Colony,Spring Fields Colony,Hyderabad,Telangana
17.5172389,78.4600931,Subash Nagar,Subash Nagar,Hyderabad,Telangana
17.5010301,78.4592338,Venkateswara Nagar,Venkateswara Nagar,Hyderabad,Telangana
17.5002026,78.4720795,Vennalagadda,Vennalagadda,Hyderabad,Telangana
17.5030552,78.4657458,Marri Narayana Reddy Nagar,Marri Narayana Reddy Nagar,Hyderabad,Telangana
17.5022292,78.5088584,Alwal,Alwal,Hyderabad,Telangana
17.5146693,78.5003824,Ambedkar Nagar,Ambedkar Nagar,Hyderabad,Telangana
17.5181593,78.5029936,Ambedkar Nagar,Ambedkar Nagar,Hyderabad,Telangana
17.5004207,78.4994056,Dinakar Nagar,Dinakar Nagar,Hyderabad,Telangana
17.5083672,78.4958715,Father Balaiah Nagar,Father Balaiah Nagar,Hyderabad,Telangana
17.5055014,78.5165581,GV Reddy Colony,GV Reddy Colony,Hyderabad,Telangana
17.5029417,78.501503,Janaki Nagar,Janaki Nagar,Hyderabad,Telangana
17.5121211,78.5030258,Jonnabanda,Jonnabanda,Hyderabad,Telangana
17.5036267,78.4932856,Kistamma Enclave,Kistamma Enclave,Hyderabad,Telangana
17.5181842,78.5189053,Lakadwala Colony,Lakadwala Colony,Hyderabad,Telangana
17.5151548,78.5125546,Macha Bolarum,Macha Bolarum,Hyderabad,Telangana
17.4986733,78.511907,Madhav Nagar,Madhav Nagar,Hyderabad,Telangana
17.5060381,78.5007272,Old Alwal,Old Alwal,Hyderabad,Telangana
17.5018974,78.5125318,PO Golnaka,PO Golnaka,Hyderabad,Telangana
17.5121519,78.4968288,Railway Colony,Railway Colony,Hyderabad,Telangana
17.5049395,78.5121052,Rajiv Nagar,Rajiv Nagar,Hyderabad,Telangana
17.5107981,78.5129999,Ramalingeswara Colony,Ramalingeswara Colony,Hyderabad,Telangana
17.4996227,78.5060355,Sai Nagar,Sai Nagar,Hyderabad,Telangana
17.5080984,78.5089178,Reddy Enclave,Reddy Enclave,Hyderabad,Telangana
17.509929,78.5036579,Srinagar Colony,Srinagar Colony,Hyderabad,Telangana
17.5064765,78.505152,Vasavi Nagar,Vasavi Nagar,Hyderabad,Telangana
17.5117297,78.5173959,Vivekananda Colony,Vivekananda Colony,Hyderabad,Telangana
17.5148928,78.557151,Balaji Nagar,Balaji Nagar,Hyderabad,Telangana
17.4987781,78.5674716,Bank Colony,Bank Colony,Hyderabad,Telangana
17.5175478,78.5596727,Chandrapuri Colony,Chandrapuri Colony,Hyderabad,Telangana
17.5005883,78.5358142,Jai Jawahar Nagar,Jai Jawahar Nagar,Hyderabad,Telangana
17.5100445,78.5590092,Jawahar Nagar,Jawahar Nagar,Hyderabad,Telangana
17.5047516,78.5359912,Sai Krupa Colony,Sai Krupa Colony,Hyderabad,Telangana
17.5086301,78.5646021,Santosh Nagar,Santosh Nagar,Hyderabad,Telangana
17.5024181,78.5473073,Shaili Gardens,Shaili Gardens,Hyderabad,Telangana
17.5085997,78.5518902,Shivaji Nagar,Shivaji Nagar,Hyderabad,Telangana
17.5126139,78.5456218,Swarnandhra Colony,Swarnandhra Colony,Hyderabad,Telangana
17.5001863,78.5544378,Mythri Enclave,Mythri Enclave,Hyderabad,Telangana
17.5196011,78.5545108,Viswakarma Colony,Viswakarma Colony,Hyderabad,Telangana
17.5030543,78.5407976,Yapral,Yapral,Hyderabad,Telangana
17.4835578,78.3213131,Adarsh Nagar,Adarsh Nagar,Hyderabad,Telangana
17.4911038,78.3055757,BHEL Township,BHEL Township,Hyderabad,Telangana
17.4936092,78.3246428,Chandanagar,Chandanagar,Hyderabad,Telangana
17.4773141,78.3258464,Doyens Township,Doyens Township,Hyderabad,Telangana
17.4943345,78.3295685,Gangaram,Gangaram,Hyderabad,Telangana
17.4812013,78.3215377,Gopi Nagar,Gopi Nagar,Hyderabad,Telangana
17.4970243,78.3204078,Gowtami Nagar Colony,Gowtami Nagar Colony,Hyderabad,Telangana
17.4898625,78.3312603,HUDA Colony,HUDA Colony,Hyderabad,Telangana
17.4922908,78.3240062,Indira Nagar,Indira Nagar,Hyderabad,Telangana
17.5014889,78.3199822,Jawahar Nagar Colony,Jawahar Nagar Colony,Hyderabad,Telangana
17.5068684,78.3080655,Kakatiya Nagar,Kakatiya Nagar,Hyderabad,Telangana
17.4881832,78.316112,Lingampally,Lingampally,Hyderabad,Telangana
17.482863,78.3058838,MIG Colony,MIG Colony,Hyderabad,Telangana
17.4917948,78.342306,Madinaguda,Madinaguda,Hyderabad,Telangana
17.4774828,78.3060359,Nallagandla,Nallagandla,Hyderabad,Telangana
17.4821146,78.3245758,Nehru Nagar,Nehru Nagar,Hyderabad,Telangana
17.5009176,78.333407,PJR Enclave,PJR Enclave,Hyderabad,Telangana
17.4842393,78.3306432,Papireddy Nagar,Papireddy Nagar,Hyderabad,Telangana
17.4895362,78.3363517,RTC Colony,RTC Colony,Hyderabad,Telangana
17.4836502,78.312489,Rail Vihar,Rail Vihar,Hyderabad,Telangana
17.4915301,78.3260723,Santhi Nagar,Santhi Nagar,Hyderabad,Telangana
17.4869705,78.3215746,Sivaji Nagar,Sivaji Nagar,Hyderabad,Telangana
17.497822,78.3399655,Sri Durga Colony,Sri Durga Colony,Hyderabad,Telangana
17.4963551,78.3314059,Sri Ram Nagar Colony,Sri Ram Nagar Colony,Hyderabad,Telangana
17.4926497,78.3184691,Taranagar,Taranagar,Hyderabad,Telangana
17.4851631,78.3176179,Venkata Reddy Nagar,Venkata Reddy Nagar,Hyderabad,Telangana
17.4946664,78.3800215,APHB Colony,APHB Colony,Hyderabad,Telangana
17.4808328,78.3632311,Aditya Nagar,Aditya Nagar,Hyderabad,Telangana
17.4920354,78.3499531,Allwyn Colony,Allwyn Colony,Hyderabad,Telangana
17.4964141,78.3773785,Bhagat Singh Nagar,Bhagat Singh Nagar,Hyderabad,Telangana
17.4834409,78.3611316,Hafeezpet,Hafeezpet,Hyderabad,Telangana
17.4918392,78.3575583,Janapriya Nagar,Janapriya Nagar,Hyderabad,Telangana
17.4941513,78.3615384,Madhava Nagar,Madhava Nagar,Hyderabad,Telangana
17.4755179,78.3661619,Marthanda Nagar,Marthanda Nagar,Hyderabad,Telangana
17.4925478,78.3465247,Mythrinagar,Mythrinagar,Hyderabad,Telangana
17.4897416,78.3475481,Ushodaya Enclave,Ushodaya Enclave,Hyderabad,Telangana
17.4832313,78.3788981,Venkata Ramana Colony,Venkata Ramana Colony,Hyderabad,Telangana
17.4868632,78.3548875,Vinayak Nagar Colony,Vinayak Nagar Colony,Hyderabad,Telangana
17.4840314,78.347983,Vishal Nagar,Vishal Nagar,Hyderabad,Telangana
17.4952149,78.4085858,AS Raju Nagar,AS Raju Nagar,Hyderabad,Telangana
17.4821906,78.4096963,Balaji Nagar,Balaji Nagar,Hyderabad,Telangana
17.4974865,78.403275,Bhagyanagar Colony,Bhagyanagar Colony,Hyderabad,Telangana
17.4908462,78.4114501,Chaitanya Nagar,Chaitanya Nagar,Hyderabad,Telangana
17.4890519,78.3972565,Phase 3,Phase 3,Hyderabad,Telangana
17.4859804,78.3925375,Phase 3,Phase 3,Hyderabad,Telangana
17.4819528,78.3918947,Phase 5,Phase 5,Hyderabad,Telangana
17.4872753,78.389432,Phase 6,Phase 6,Hyderabad,Telangana
17.4764821,78.3929462,Phase 7,Phase 7,Hyderabad,Telangana
17.4883615,78.3847057,Phase 9,Phase 9,Hyderabad,Telangana
17.4972233,78.4154982,Saptagiri Colony,Saptagiri Colony,Hyderabad,Telangana
17.4968066,78.384962,Satyanarayanaswamy Nagar,Satyanarayanaswamy Nagar,Hyderabad,Telangana
17.4888614,78.4155414,Shanti Nagar,Shanti Nagar,Hyderabad,Telangana
17.4917993,78.4155435,Srinivasa Nagar Colony,Srinivasa Nagar Colony,Hyderabad,Telangana
17.48721,78.4119876,Sumitra Nagar,Sumitra Nagar,Hyderabad,Telangana
17.4935675,78.4123478,Vivekananda Nagar,Vivekananda Nagar,Hyderabad,Telangana
17.4959379,78.4450488,Bhagat Singh Nagar,Bhagat Singh Nagar,Hyderabad,Telangana
17.4942732,78.4496543,Chandra Nagar,Chandra Nagar,Hyderabad,Telangana
17.4940726,78.455753,Dee Nagar,Dee Nagar,Hyderabad,Telangana
17.4918194,78.4515872,Ganesh Nagar,Ganesh Nagar,Hyderabad,Telangana
17.488482,78.4406024,Giri Nagar,Giri Nagar,Hyderabad,Telangana
17.4870177,78.4455655,Gurumurthy Nagar,Gurumurthy Nagar,Hyderabad,Telangana
17.4806031,78.4517703,Idpl,Idpl,Hyderabad,Telangana
17.4883964,78.4220421,Prakash Nagar,Prakash Nagar,Hyderabad,Telangana
17.4797901,78.4240348,Prashanti Nagar,Prashanti Nagar,Hyderabad,Telangana
17.4830911,78.4191591,Sangeet Nagar,Sangeet Nagar,Hyderabad,Telangana
17.4849016,78.4480575,Sowbhagya Nagar,Sowbhagya Nagar,Hyderabad,Telangana
17.4901213,78.4527457,Surya Nagar,Surya Nagar,Hyderabad,Telangana
17.4963993,78.4539865,Vani Nagar,Vani Nagar,Hyderabad,Telangana
17.5009121,78.4684055,Bank Colony,Bank Colony,Hyderabad,Telangana
17.4933528,78.4644418,Bapu Nagar,Bapu Nagar,Hyderabad,Telangana
17.4853126,78.4607748,Dilkush Nagar,Dilkush Nagar,Hyderabad,Telangana
17.4792787,78.4809763,HAL Colony,HAL Colony,Hyderabad,Telangana
17.4847838,78.4903557,Indira Nagar,Indira Nagar,Hyderabad,Telangana
17.4785396,78.4858642,Lal Bahadur Nagar Colony,Lal Bahadur Nagar Colony,Hyderabad,Telangana
17.4816681,78.4802609,Maithri Vanam,Maithri Vanam,Hyderabad,Telangana
17.4782553,78.4720946,Nandamuri Nagar,Nandamuri Nagar,Hyderabad,Telangana
17.4906594,78.4596789,Padma Nagar,Padma Nagar,Hyderabad,Telangana
17.4870754,78.4812514,Swarnadhama Nagar,Swarnadhama Nagar,Hyderabad,Telangana
17.4812297,78.465667,Sarvatra Defence Colony,Sarvatra Defence Colony,Hyderabad,Telangana
17.4810325,78.4953262,AWHO Colony,AWHO Colony,Hyderabad,Telangana
17.4913957,78.5022545,Bhudevi Nagar,Bhudevi Nagar,Hyderabad,Telangana
17.4925892,78.497188,Chitamma Nagar Colony,Chitamma Nagar Colony,Hyderabad,Telangana
17.4928406,78.5075395,Indiranagar,Indiranagar,Hyderabad,Telangana
17.4883392,78.4968218,Khanojiguda,Khanojiguda,Hyderabad,Telangana
17.4808081,78.5114174,Lal Bazaar,Lal Bazaar,Hyderabad,Telangana
17.4947739,78.5090104,Laxmi Nagar,Laxmi Nagar,Hyderabad,Telangana
17.4956214,78.5155272,Lothkunta,Lothkunta,Hyderabad,Telangana
17.4887759,78.4936781,Padmavathi Colony,Padmavathi Colony,Hyderabad,Telangana
17.4859267,78.5302953,Raghavendra Colony,Raghavendra Colony,Hyderabad,Telangana
17.4943106,78.5018779,Ramachandraiah Nagar,Ramachandraiah Nagar,Hyderabad,Telangana
17.4919245,78.514398,Rudranagar Colony,Rudranagar Colony,Hyderabad,Telangana
17.4803236,78.529135,Santosh Nagar,Santosh Nagar,Hyderabad,Telangana
17.4973354,78.5167932,Saraswati Nagar,Saraswati Nagar,Hyderabad,Telangana
17.4865053,78.5011252,Subhash Nagar,Subhash Nagar,Hyderabad,Telangana
17.4976008,78.4997785,Subhodaya Nagar,Subhodaya Nagar,Hyderabad,Telangana
17.4802464,78.5021629,Teachers Colony,Teachers Colony,Hyderabad,Telangana
17.4822416,78.5232193,Usha Officers Colony,Usha Officers Colony,Hyderabad,Telangana
17.496189,78.5043108,Venkatapuram,Venkatapuram,Hyderabad,Telangana
17.477642,78.5256,Venkateshwara Colony,Venkateshwara Colony,Hyderabad,Telangana
17.4895654,78.5316993,Vivekanandapuram,Vivekanandapuram,Hyderabad,Telangana
17.4798689,78.5509653,AS Rao Nagar,AS Rao Nagar,Hyderabad,Telangana
17.4967373,78.5391875,Ammuguda,Ammuguda,Hyderabad,Telangana
17.4876265,78.5657131,Arun Nagar,Arun Nagar,Hyderabad,Telangana
17.4807568,78.5660071,Bhavani Nagar,Bhavani Nagar,Hyderabad,Telangana
17.4872059,78.5563549,Chandrapuri Colony,Chandrapuri Colony,Hyderabad,Telangana
17.4803362,78.5354335,Gandhi Nagar,Gandhi Nagar,Hyderabad,Telangana
17.4867853,78.5394022,Hilltop Colony,Hilltop Colony,Hyderabad,Telangana
17.4785837,78.5406026,Kakatiya Nagar,Kakatiya Nagar,Hyderabad,Telangana
17.4933378,78.5437891,O.U.T Colony,O.U.T Colony,Hyderabad,Telangana
17.4846356,78.5610095,Kapra,Kapra,Hyderabad,Telangana
17.492428,78.5580093,Malla Reddy Colony,Malla Reddy Colony,Hyderabad,Telangana
17.4922483,78.539036,Nirmal Nagar,Nirmal Nagar,Hyderabad,Telangana
17.4845889,78.567232,Parimala Nagar,Parimala Nagar,Hyderabad,Telangana
17.4827356,78.5601765,Prashanti Nagar,Prashanti Nagar,Hyderabad,Telangana
17.4892154,78.5424889,Sainikpuri,Sainikpuri,Hyderabad,Telangana
17.4828598,78.5339636,Saptagiri Colony,Saptagiri Colony,Hyderabad,Telangana
17.4793548,78.5446448,Shiva Nagar Colony,Shiva Nagar Colony,Hyderabad,Telangana
17.4821588,78.5402351,Sri Colony,Sri Colony,Hyderabad,Telangana
17.4847218,78.5641207,Sri Ram Naga,Sri Ram Naga,Hyderabad,Telangana
17.4852432,78.5436649,Vayupuri,Vayupuri,Hyderabad,Telangana
17.4840281,78.553905,Vijayapuri,Vijayapuri,Hyderabad,Telangana
17.4874776,78.5767581,Bharat Nagar Colony,Bharat Nagar Colony,Hyderabad,Telangana
17.4905744,78.5749363,GR Reddy Nagar,GR Reddy Nagar,Hyderabad,Telangana
17.4880101,78.5726444,Jai Jawan Nagar,Jai Jawan Nagar,Hyderabad,Telangana
17.4825451,78.5726444,Kushaiguda,Kushaiguda,Hyderabad,Telangana
17.480275,78.5843096,Nagarjuna Nagar Colony,Nagarjuna Nagar Colony,Hyderabad,Telangana
17.479182,78.5777571,Sai Nagar,Sai Nagar,Hyderabad,Telangana
17.4980849,78.5809011,Sairam Nagar,Sairam Nagar,Hyderabad,Telangana
17.4956748,78.575906,Saket,Saket,Hyderabad,Telangana
17.482349,78.580431,Shiva Sai Nagar,Shiva Sai Nagar,Hyderabad,Telangana
17.4932648,78.5810774,Sri Datta Nagar Colony,Sri Datta Nagar Colony,Hyderabad,Telangana
17.4883044,78.5838982,Sri Vasavi Siva Nagar Colony,Sri Vasavi Siva Nagar Colony,Hyderabad,Telangana
17.4717411,78.3386885,Ravi Colony,Ravi Colony,Hyderabad,Telangana
17.4693389,78.332565,Sudarshan Nagar Colony,Sudarshan Nagar Colony,Hyderabad,Telangana
17.4654929,78.34851,Gouthami Colony,Gouthami Colony,Hyderabad,Telangana
17.4681506,78.3725279,Izzat Nagar,Izzat Nagar,Hyderabad,Telangana
17.4666737,78.3797208,Khanmet,Khanmet,Hyderabad,Telangana
17.458705,78.3638803,Kothaguda,Kothaguda,Hyderabad,Telangana
17.4670374,78.3415168,Masjid Banda,Masjid Banda,Hyderabad,Telangana
17.4719845,78.3622726,Raghavendra Colony,Raghavendra Colony,Hyderabad,Telangana
17.470652,78.3526095,Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,Hyderabad,Telangana
17.4543363,78.36589,Whitefields,Whitefields,Hyderabad,Telangana
17.4728589,78.3889642,APHB Colony,APHB Colony,Hyderabad,Telangana
17.4565793,78.4095538,Allapur,Allapur,Hyderabad,Telangana
17.4554136,78.3897177,Chanda Naik Thanda,Chanda Naik Thanda,Hyderabad,Telangana
17.4566764,78.4035867,Gayatri Nagar,Gayatri Nagar,Hyderabad,Telangana
17.4667202,78.3999819,Khaitalpur,Khaitalpur,Hyderabad,Telangana
17.4569679,78.413464,Kottur Sitaiah Nagar,Kottur Sitaiah Nagar,Hyderabad,Telangana
17.456657,78.3996561,Parvatha Nagar,Parvatha Nagar,Hyderabad,Telangana
17.4607756,78.4108164,Satadar Nagar,Satadar Nagar,Hyderabad,Telangana
17.4592214,78.402548,Vivekananda,Vivekananda,Hyderabad,Telangana
